,Rank,Collection,Volume,24h %,7d %,Floor Price,Owners,Items
41,262,KCG,145.68,-57.63%,+52.88%,0.28,2.4K,7.9K
42,263,Slimes World,145.31,-8.53%,+121.25%,0.15,698,1.0K
33,264,xmfers,144.17,-60.43%,-82.38%,0.02,2.6K,7.0K
15,265,WomenRise,143.48,-1.37%,-49.84%,0.47,5.7K,10.0K
13,266,Cyber Turtles Genesis,142.42,-12.32%,-49.43%,0.3,310,5.6K
38,267,The Long Lost,141.97,-44.93%,-20.53%,0.09,4.6K,10.0K
34,268,BLOCKS by harvmcm,140.61,+10.76%,---,0.23,604,1.0K
36,269,Angry Ape Army,139.3,-66.97%,+17.66%,2.9,1.1K,3.3K
35,270,The Flower Girls,138.42,+154.15%,-9.13%,0.58,4.2K,10.0K
2,271,Swampverse,138.4,+73.64%,+13.00%,0.38,4.8K,9.6K
7,272,Space Game - Marines & Aliens,137.54,-24.78%,-50.98%,0.03,239,22.0K
27,273,Deadfrenz Lab Access Pass,134.42,-27.65%,-44.73%,0.4,1.7K,6
28,274,Wolf Game - Wool Pouch,134.32,-73.81%,-24.80%,0.45,3.0K,9.5K
3,275,ENS: Ethereum Name Service,134.28,-92.39%,-39.04%,< 0.01,279.0K,607.5K
4,276,FoxFam,134.12,+28.54%,+16.09%,0.45,3.5K,10.0K
22,277,DiverseWorld,133.69,-48.64%,---,0.24,697,985
24,278,Jenkins the Valet: The Writer's Room,132.77,-83.01%,+110.93%,1.45,2.9K,6.9K
23,279,Gazers by Matt Kane,132.69,+124.60%,+43.28%,6.8,413,1.0K
18,280,Frontier Game,132.56,-17.39%,-16.78%,0.06,7.4K,56
21,281,WVRPS by WarpSound (Official),132.29,+26.55%,-62.98%,0.3,5.0K,10.0K
19,282,RaidParty Fighters,132.23,+33.19%,-76.59%,0.39,2.8K,9.1K
20,283,VOX Collectibles: Mirandus,130.9,+468.53%,-23.86%,1.1,4.1K,8.4K
1,284,DotsCountryCLub Collection,130.8,-100.00%,---,40,4,6
17,285,FLUF World: Thingies,130.45,-52.24%,-13.60%,1.3,3.0K,9.6K
15,286,CyberTHUG Genesis Club,"300,592.83",+64.90%,+169.77%,385,1.0K,10.0K
16,287,Ethernal Elves Sentinels,129.89,+18.14%,-43.11%,0.29,312,6.4K
2,288,The GFT Shoppe: Atari 50th Anniversary Commemorative Collection,128.04,+406.70%,+57.57%,0.05,4.7K,10.0K
14,289,Cosmos Kidz,127.51,-0.47%,-41.74%,0.05,2.9K,6.1K
12,290,Zodiac Capsules,127.17,+154.91%,+149.47%,0.5,1.9K,9.3K
13,291,Sherbet NFTs,126.34,-37.05%,-17.85%,0.15,3.6K,7.8K
3,292,Robotos Official,126.17,-50.98%,-15.32%,0.7,5.7K,10.0K
11,293,OogaVerse,125.65,+19.96%,+4.89%,0.42,967,4.1K
4,294,Wolf Game - Farmer,124.18,+373.57%,+23.45%,0.67,3.4K,11.7K
10,295,THE SHIBOSHIS,124.05,+5.14%,-52.73%,0.89,3.6K,10.0K
5,296,MetaHero Universe: Generative Identities,122.6,+173.74%,-31.13%,3.99,310,6.5K
9,297,FOMO MOFOS,122.39,-52.22%,+23.19%,0.29,4.3K,8.0K
6,298,Crypto Unicorns Shadowcorns,122.3,-4.33%,+3.72%,0.09,1.2K,5
7,299,10KTF,121.39,+9.01%,+466.62%,0.26,4.5K,18.4K
8,300,Sneaky Vampire Syndicate,120.1,+41.00%,-63.38%,0.83,1.3K,8.9K
75,301,LlamaBoost,119.69,-49.32%,-39.32%,0.69,1.6K,2
73,302,TheLandDAO Official,119.34,-6.43%,-41.19%,0.05,3.8K,8.9K
74,303,Pudgy Penguins,118.74,+14.47%,-37.88%,0.89,4.4K,8.9K
69,304,Angry Pitbull Club,117.85,-2.66%,-39.26%,0.19,5.3K,10.0K
72,305,Gooniez Gang Official,116.69,+41.98%,-89.58%,0.14,5.9K,8.9K
70,306,Crypto Unicorns Land Market,116.32,+42.99%,-10.66%,0.1,6.9K,30.0K
71,307,Champs Only,115.8,+193.14%,+19.58%,1.38,1.3K,1
53,308,STAPLEVERSE - FEED CLAN - PHASE 1 of 3,115.74,-68.34%,-16.54%,0.4,5.0K,10.0K
68,309,Cupcat Kittens,115.72,-59.37%,---,0.03,3.2K,8.3K
66,310,Cameo Pass,115.67,+2.54%,-89.81%,0.13,2.4K,3
67,311,Little Lemon Friends,115.55,-18.67%,-31.51%,0.25,5.3K,10.0K
54,312,inBetweeners by GianPiero,115.08,-37.74%,+11.47%,0.43,5.7K,10.8K
65,313,Stoner Ape Club | SAC,114.02,-15.53%,+83.65%,0.2,4.4K,6.7K
63,314,Cosmic Cats Official,113.49,+6.11%,-92.25%,0.05,5.0K,8.9K
64,315,Tom Sachs Rocket Factory,112.65,-100.00%,+995.86%,2.65,576,1.8K
